Richmond_Pack_ID,Shipping_Order,Elevation_Letters_Original,Option_Codes,Phase_Str,Pack_Name,Item_No,Item_Type,Old_Code,Plan_No,New_Phase_Code,New_Elevation_Code,New_Item_Type_Code,New_Full_Code
020.830 OPT DEN W/ FULL BALL WALLS  ,3,,,20.83,OPT DEN W/ FULL BALL WALLS  ,1000,Framing,XXXX-20.83-1000,PPPP,020.830,**,1000,PPPP-020.830-**-1000
020.004 Alternate Kitchen      ,3,,,20.ak,Alternate Kitchen      ,1000,Framing,XXXX-20.ak-1000,PPPP,020.004,**,1000,PPPP-020.004-**-1000
020.002 MAIN FLOOR WALLS (LOFT)    ,3,"A, B, C",,20.lo,MAIN FLOOR WALLS (LOFT)    ,1000,Framing,XXXX-20.lo-1000,PPPP,020.002,ABC,1000,PPPP-020.002-ABC-1000
020.003 MAIN FLOOR WALLS (NO LOFT)   ,3,"A, B, C",,20.nl,MAIN FLOOR WALLS (NO LOFT)   ,1000,Framing,XXXX-20.nl-1000,PPPP,020.003,ABC,1000,PPPP-020.003-ABC-1000
020.000 MAIN FLOOR WALLS     ,3,"B, C",,20,MAIN FLOOR WALLS     ,1000,Framing,XXXX-20-1000,PPPP,020.000,BC,1000,PPPP-020.000-BC-1000
020.000 MAIN FLOOR WALLS     ,3,"B, C, D",,20,MAIN FLOOR WALLS     ,1000,Framing,XXXX-20-1000,PPPP,020.000,BCD,1000,PPPP-020.000-BCD-1000
020.000 MAIN WALLS      ,3,D,,20,MAIN WALLS      ,1000,Framing,XXXX-20-1000,PPPP,020.000,D,1000,PPPP-020.000-D-1000
020.014 FRAMING MASONRY      ,3,,,20.ma,FRAMING MASONRY      ,1000,Framing,XXXX-20.ma-1000,PPPP,020.014,**,1000,PPPP-020.014-**-1000
020.001 MAIN WALLS READYFRAME     ,3,,,20.rf,MAIN WALLS READYFRAME     ,1000,Framing,XXXX-20.rf-1000,PPPP,020.001,**,1000,PPPP-020.001-**-1000
022.400 OPT 4 CAR GARAGE TANDEM WALLS  ,3,A,4CARTA,22.4,OPT 4 CAR GARAGE TANDEM WALLS  ,1000,Framing,XXXX-22.4-1000,PPPP,022.400,A,1000,PPPP-022.400-A-1000
022.400 OPT 4 CAR GARAGE TANDEM WALLS  ,3,"B, C","3CARTB, 3CARTC",22.4,OPT 4 CAR GARAGE TANDEM WALLS  ,1000,Framing,XXXX-22.4-1000,PPPP,022.400,BC,1000,PPPP-022.400-BC-1000
022.405 OPT 2 CAR GARAGE 4' EXT WALLS ,3,,2CAR4XA,22.4x,OPT 2 CAR GARAGE 4' EXT WALLS ,1000,Framing,XXXX-22.4x-1000,PPPP,022.405,A,1000,PPPP-022.405-A-1000
022.405 OPT 2 CAR GARAGE 4' EXT WALLS ,3,,2CAR4XB,22.4x,OPT 2 CAR GARAGE 4' EXT WALLS ,1000,Framing,XXXX-22.4x-1000,PPPP,022.405,B,1000,PPPP-022.405-B-1000
022.405 OPT 2 CAR GARAGE 4' EXT WALLS ,3,,2CAR4XC,22.4x,OPT 2 CAR GARAGE 4' EXT WALLS ,1000,Framing,XXXX-22.4x-1000,PPPP,022.405,C,1000,PPPP-022.405-C-1000
022.205 OPT EXTENDED GARAGE WALLS    ,3,,GAREXT2,22.2x,OPT EXTENDED GARAGE WALLS    ,1000,Framing,XXXX-22.2x-1000,PPPP,022.205,**,1000,PPPP-022.205-**-1000
022.205 OPT EXTENDED GARAGE WALLS    ,3,,GAREXT2,22.2x,OPT EXTENDED GARAGE WALLS    ,1000,Framing,XXXX-22.2x-1000,PPPP,022.205,**,1000,PPPP-022.205-**-1000
022.405 OPT 2 CAR GARAGE 4' EXT WALLS ,3,"A, B, C","2CAR4XA, 2CAR4XB, 2CAR4XC",22.4x,OPT 2 CAR GARAGE 4' EXT WALLS ,1000,Framing,XXXX-22.4x-1000,PPPP,022.405,ABC,1000,PPPP-022.405-ABC-1000
022.505 OPT 2 CAR GARAGE 5' EXT WALLS ,3,"A, B","2CAR5XA, 2CAR5XB",22.5x,OPT 2 CAR GARAGE 5' EXT WALLS ,1000,Framing,XXXX-22.5x-1000,PPPP,022.505,AB,1000,PPPP-022.505-AB-1000
022.505 OPT 2 CAR GARAGE 5' EXT WALLS ,3,C,2CAR5XC,22.5x,OPT 2 CAR GARAGE 5' EXT WALLS ,1000,Framing,XXXX-22.5x-1000,PPPP,022.505,C,1000,PPPP-022.505-C-1000
022.000 3RD CAR GARAGE WALLS    ,3,"A, B","3CARA, 3CARB",22,3RD CAR GARAGE WALLS    ,1000,Framing,XXXX-22-1000,PPPP,022.000,AB,1000,PPPP-022.000-AB-1000
022.000 3RD CAR GARAGE WALLS    ,3,"B, C, D","3CARB, 3CARC, 3CARD",22,3RD CAR GARAGE WALLS    ,1000,Framing,XXXX-22-1000,PPPP,022.000,BCD,1000,PPPP-022.000-BCD-1000
022.000 3RD CAR GARAGE WALLS    ,3,D,3CARD,22,3RD CAR GARAGE WALLS    ,1000,Framing,XXXX-22-1000,PPPP,022.000,D,1000,PPPP-022.000-D-1000
023.000 COVERED PATIO      ,3,,COVP,23,COVERED PATIO      ,1000,Framing,XXXX-23-1000,PPPP,023.000,**,1000,PPPP-023.000-**-1000
